student_id	year	college	major
0	2021	Benjamin Franklin College	Undeclared
1	2022	Pierson College	Undeclared
2	2021	Ezra Stiles College	Undeclared
3	2022	Davenport College	Undeclared
4	2021	Trumbull College	Elec.Engineering/Computer Sci
5	2022	Silliman College	Undeclared
6	2022	Ezra Stiles College	Undeclared
7	2020	Silliman College	Psychology
8	2020	Pauli Murray College	Computer Science
9	2021	Branford College	Undeclared
10	2021	Ezra Stiles College	Environmental Engineering
11	2022	Jonathan Edwards College	Undeclared
12	2020	Ezra Stiles College	Architecture
13	2020	Grace Hopper College	Economics
14	2019	Berkeley College	Global Affairs
15	2020	Benjamin Franklin College	Political Science
16	2020	Saybrook College	Computer Science
17	2021	Davenport College	Electrical Engineering
18	2021	Ezra Stiles College	Undeclared
19	2019	Pierson College	Modern Middle Eastern Studies
20	2019	Pauli Murray College	History Science, Medicine & PH
21	2022	Morse College	Undeclared
22	2022	Branford College	Molecular Biophysics & Biochem
23	2022	Benjamin Franklin College	Undeclared
24	2022	Branford College	Undeclared
25	2022	Pierson College	Undeclared
26	2020	Grace Hopper College	Ethics,Politics & Economics
27	2019	Jonathan Edwards College	Political Science
28	2019	Morse College	Computer Science
29	2019	Berkeley College	Anthropology
30	2021	Morse College	Computer Science
31	2021	Pauli Murray College	Undeclared
32	2022	Davenport College	Undeclared
33	2021	Pauli Murray College	Undeclared
34	2021	Timothy Dwight College	Undeclared
35	2020	Jonathan Edwards College	Applied Physics
36	2021	Grace Hopper College	Undeclared
37	2021	Ezra Stiles College	Computing and the Arts
38	2020	Benjamin Franklin College	Molecular Biophysics & Biochem
39	2020	Davenport College	Undeclared
40	2022	Timothy Dwight College	Undeclared
41	2022	Davenport College	Undeclared
42	2020	Davenport College	History of Art
43	2020	Morse College	Environmental Studies
44	2022	Pierson College	Undeclared
45	2022	Benjamin Franklin College	Molecular,Cellular,Dev Biology
46	2022	Trumbull College	Undeclared
47	2022	Grace Hopper College	Computer Science
48	2022	Morse College	Undeclared
49	2022	Berkeley College	Undeclared
50	2019	Morse College	Engineering Science-Mechanical
51	2022	Trumbull College	Undeclared
52	2022	Jonathan Edwards College	Undeclared
53	2019	Branford College	Statistics and Data Science
54	2020	Jonathan Edwards College	Psychology
55	2020	Morse College	Architecture
56	2022	Grace Hopper College	Undeclared
57	2019	Timothy Dwight College	Engineering Science-Chemical
58	2019	Pauli Murray College	Political Science
59	2020	Pierson College	Biomedical Engineering
60	2020	Branford College	Political Science
61	2021	Pauli Murray College	Undeclared
62	2021	Timothy Dwight College	Undeclared
63	2022	Morse College	Undeclared
64	2020	Jonathan Edwards College	Economics
65	2020	Morse College	Economics
66	2020	Trumbull College	Cognitive Science
67	2022	Jonathan Edwards College	Undeclared
68	2021	Berkeley College	Undeclared
69	2021	Davenport College	Undeclared
70	2021	Saybrook College	Undeclared
71	2019	Ezra Stiles College	Computer Science
72	2020	Pauli Murray College	Economics & Mathematics
73	2019	Jonathan Edwards College	Humanities
74	2022	Pierson College	Undeclared
75	2021	Ezra Stiles College	Undeclared
76	2021	Ezra Stiles College	Undeclared
77	2022	Ezra Stiles College	Undeclared
78	2021	Pauli Murray College	Undeclared
79	2019	Berkeley College	Molecular,Cellular,Dev Biology
80	2021	Benjamin Franklin College	Undeclared
81	2021	Timothy Dwight College	Political Science
82	2020	Silliman College	History Science, Medicine & PH
83	2021	Silliman College	Undeclared
84	2022	Branford College	Undeclared
85	2021	Trumbull College	Undeclared
86	2022	Jonathan Edwards College	Environmental Engineering
87	2020	Timothy Dwight College	Molecular,Cellular,Dev Biology
88	None	Jonathan Edwards College	Visiting International Program
89	2021	Saybrook College	Undeclared
90	2020	Ezra Stiles College	History Science, Medicine & PH
91	2019	Davenport College	Ethics,Politics & Economics
92	2019	Timothy Dwight College	Environmental Studies
93	2019	Jonathan Edwards College	Applied Mathematics
94	2021	Trumbull College	Undeclared
95	2020	Branford College	Political Science
96	2022	Branford College	Undeclared
97	2020	Davenport College	Molecular,Cellular,Dev Biology
98	2021	Trumbull College	Undeclared
99	2021	Morse College	Computer Science
100	2022	Morse College	Undeclared
101	2022	Berkeley College	Undeclared
102	2020	Saybrook College	Mechanical Engineering
103	2022	Jonathan Edwards College	Undeclared
104	2022	Branford College	Undeclared
105	2022	Saybrook College	Undeclared
106	2019	Pauli Murray College	Mechanical Engineering
107	2021	Silliman College	Undeclared
108	2021	Pauli Murray College	Molecular Biophysics & Biochem
109	2019	Silliman College	Ethics,Politics & Economics
110	2020	Morse College	Political Science
111	2022	Branford College	Undeclared
112	2021	Timothy Dwight College	Undeclared
113	2021	Branford College	Economics
114	2019	Branford College	Global Affairs
115	2020	Branford College	Molecular,Cellular,Dev Biology
116	2020	Pierson College	History
117	2022	Benjamin Franklin College	Elec.Engineering/Computer Sci
118	2022	Saybrook College	Undeclared
119	2019	Saybrook College	Psychology
120	2022	Morse College	Chemical Engineering
121	2022	Grace Hopper College	Undeclared
122	2022	Saybrook College	Undeclared
123	2020	Davenport College	Sociology
124	2022	Morse College	Undeclared
125	2019	Berkeley College	Economics & Mathematics
126	2022	Berkeley College	Undeclared
127	2022	Ezra Stiles College	Undeclared
128	2019	Davenport College	Mathematics & Philosophy
129	2021	Pauli Murray College	Undeclared
130	2020	Pauli Murray College	Environmental Studies
131	2021	Davenport College	Undeclared
132	2021	Branford College	Molecular,Cellular,DevBio(Int)
133	2021	Timothy Dwight College	English
134	2022	Saybrook College	Undeclared
135	2019	Ezra Stiles College	Cognitive Science
136	2021	Timothy Dwight College	Undeclared
137	2022	Grace Hopper College	Undeclared
138	2020	Silliman College	Economics
139	2019	Berkeley College	Economics
140	2020	Silliman College	Environmental Studies
141	2019	Silliman College	Ecology & Evolutionary Biology
142	2020	Saybrook College	Computing and the Arts
143	2020	Benjamin Franklin College	Mechanical Engineering
144	2022	Jonathan Edwards College	Undeclared
145	2019	Saybrook College	Mechanical Engineering
146	2022	Branford College	Undeclared
147	2019	Ezra Stiles College	Molecular,Cellular,Dev Biology
148	2019	Morse College	Global Affairs
149	2022	Berkeley College	Economics
150	2019	Branford College	Molecular,Cellular,Dev Biology
151	2022	Pierson College	Undeclared
152	2021	Saybrook College	Undeclared
153	2022	Ezra Stiles College	Undeclared
154	None	Grace Hopper College	History of Art
155	2019	Branford College	History
156	2022	Ezra Stiles College	Undeclared
157	2021	Grace Hopper College	Undeclared
158	2019	Branford College	Economics
159	2022	Morse College	Undeclared
160	2022	Trumbull College	Undeclared
161	2022	Saybrook College	Undeclared
162	2022	Pauli Murray College	Undeclared
163	2021	Branford College	Undeclared
164	2019	Jonathan Edwards College	Computer Science
165	2020	Benjamin Franklin College	Ethnicity, Race & Migration
166	2022	Jonathan Edwards College	Undeclared
167	2019	Grace Hopper College	Molecular,Cellular,Dev Biology
168	2021	Branford College	Undeclared
169	2022	Silliman College	Undeclared
170	2022	Saybrook College	Undeclared
171	2019	Silliman College	Economics
172	2021	Timothy Dwight College	Undeclared
173	2019	Jonathan Edwards College	History
174	2020	Benjamin Franklin College	Psychology
175	2020	Ezra Stiles College	Computer Science & Mathematics
176	2019	Branford College	Sociology
177	2020	Morse College	Economics
178	2019	Timothy Dwight College	Political Science
179	2019	Silliman College	Political Science
180	2021	Grace Hopper College	Undeclared
181	2020	Pauli Murray College	Astrophysics
182	2022	Pierson College	Undeclared
183	2022	Morse College	Undeclared
184	2019	Jonathan Edwards College	Economics
185	2020	Trumbull College	Sociology
186	2021	Saybrook College	Physics (Int.)
187	2022	Morse College	Undeclared
188	2020	Branford College	Molecular Biophysics & Biochem
189	2022	Pierson College	Mechanical Engineering
190	2019	Grace Hopper College	Mechanical Engineering
191	2019	Pierson College	Electrical Engineering
192	2022	Benjamin Franklin College	Undeclared
193	2021	Benjamin Franklin College	Undeclared
194	2021	Berkeley College	History
195	2022	Pierson College	Undeclared
196	2019	Saybrook College	Linguistics
197	2021	Davenport College	Undeclared
198	2021	Saybrook College	Undeclared
199	2020	Timothy Dwight College	Political Science
200	2021	Grace Hopper College	Undeclared
201	2022	Saybrook College	Undeclared
202	2020	Saybrook College	Linguistics
203	2019	Jonathan Edwards College	Architecture
204	2020	Berkeley College	Molecular,Cellular,Dev Biology
205	2020	Branford College	Electrical Engineering
206	2019	Silliman College	Physics
207	2020	Grace Hopper College	History
208	2021	Ezra Stiles College	Computer Science
209	2020	Ezra Stiles College	Computer Science
210	2019	Silliman College	Political Science
211	2020	Morse College	Molecular,Cellular,DevBio(Int)
212	2020	Saybrook College	Molecular,Cellular,Dev Biology
213	2020	Davenport College	Theater Studies
214	2021	Branford College	Undeclared
215	2019	Berkeley College	Art
216	2022	Jonathan Edwards College	Undeclared
217	2021	Pierson College	Undeclared
218	2022	Pierson College	Undeclared
219	2021	Pauli Murray College	Undeclared
220	2021	Silliman College	Political Science
221	2021	Saybrook College	Molecular,Cellular,Dev Biology
222	2019	Silliman College	Physics (Int.)
223	2019	Ezra Stiles College	Elec.Engineering/Computer Sci
224	2022	Trumbull College	Undeclared
225	2022	Berkeley College	Undeclared
226	2020	Benjamin Franklin College	Psychology
227	2022	Jonathan Edwards College	Undeclared
228	2019	Berkeley College	History
229	2020	Berkeley College	History
230	2020	Branford College	Economics & Mathematics
231	2021	Timothy Dwight College	Undeclared
232	2021	Morse College	Undeclared
233	2022	Jonathan Edwards College	Undeclared
234	2019	Benjamin Franklin College	Molecular Biophysics & Biochem
235	2021	Saybrook College	Computer Science & Psychology
236	2021	Morse College	Undeclared
237	2019	Silliman College	History
238	2021	Silliman College	Economics
239	2021	Jonathan Edwards College	East Asian Studies
240	2022	Jonathan Edwards College	Undeclared
241	2020	Jonathan Edwards College	Political Science
242	2020	Saybrook College	Environmental Studies
243	2022	Davenport College	Undeclared
244	2021	Benjamin Franklin College	Undeclared
245	2021	Trumbull College	Undeclared
246	2019	Trumbull College	Computer Science
247	2020	Benjamin Franklin College	Molecular,Cellular,Dev Biology
