STATION	NAME	DATE	AWND	SNOW	TAVG	TMAX	TMIN
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-01		28.1	22.9	30.8	15
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-02		14.7	25.2	34.1	16.2
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-03		9.3	36.6	45.8	27.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-04		0	46.1	55	37.3
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-05		0	55.8	63.5	48.2
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-06		0	65	73.6	56.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-07		0	71.9	81	62.9
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-08		0	71.8	80.8	62.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-09		0	64.9	75.8	54
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-10		0	53.9	63.2	44.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-11		1.6	47.9	56.3	39.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1948-12		18.8	33.9	42.3	25.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-01		13.3	35.7	42.3	29.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-02		14.3	34.9	42.7	27
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-03		8.4	38.8	46.9	30.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-04		0	49.5	58.2	40.9
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-05		0	57.9	68.3	47.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-06		0	69.7	79.2	60.2
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-07		0	75.1	82.9	67.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-08		0	72.1	80.9	63.2
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-09		0	62.7	71.7	53.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-10		0	58.1	67.4	48.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-11		1.3	42.6	51.1	34.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1949-12		4.8	34.9	42.9	26.9
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-01		1.7	36.2	43.6	28.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-02		12.6	29.2	36	22.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-03		2.9	34.3	42.7	25.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-04		4.9	44.6	52.8	36.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-05		0	54.8	63	46.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-06		0	65.2	74.9	55.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-07		0	70.7	79.4	61.9
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-08		0	69.9	78.3	61.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-09		0	61.2	69.6	52.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-10		0	55.9	65.3	46.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-11		0	45.1	53.9	36.3
USW00014758	"NEW HAVEN TWEED AIRPORT"	1950-12		5	33.1	39.7	26.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-01		6.7	32.2	40	24.3
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-02		3.6	33.4	41.5	25.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-03		8.1	39.2	46.2	32.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-04		0	49.7	58.7	40.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-05		0	58.6	68.8	48.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-06		0	65.6	73.7	57.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-07		0	72.4	81	63.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-08		0	71	79.3	62.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-09		0	64.4	73.9	54.9
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-10		0	55.1	64	46.3
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-11		0.1	40.3	48.6	32.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1951-12		4.6	35.2	43	27.4
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-01		6	32.9	40.2	25.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-02		11.8	33.3	40.1	26.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-03		5.7	37.3	43.8	30.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-04		0	50.5	58.9	42.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-05		0	56.6	66.1	47.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-06		0	68.7	77.8	59.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-07		0	75	84.4	65.6
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-08		0	71.5	79.8	63.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-09		0	64.8	74.9	54.7
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-10		0	51.6	61.5	41.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-11		0.2	44.5	52.9	36.1
USW00014758	"NEW HAVEN TWEED AIRPORT"	1952-12		5	35.3	42.1	28.5
USW00014758	"NEW HAVEN TWEED AIRPORT"	1953-01		6.5	34.1	41	27.3
USW00014758	"NEW HAVEN TWEED AIRPORT"	1953-02		1.5	35.4	43	27.8
USW00014758	"NEW HAVEN TWEED AIRPORT"	1953-03		0.5	39.1	46	32.2
USW00014758	"NEW HAVEN TWEED AIRPORT"	1953-04		0	48.6	56	41.1
